319999999, placeholderLiftType, 3
719999999, placeholderLiftType, 3
1119999999, placeholderLiftType, 11
1519999999, placeholderLiftType, 12
1919999999, placeholderLiftType, 17
2319999999, placeholderLiftType, 7
2719999999, placeholderLiftType, 12
3119999999, placeholderLiftType, 8
3519999999, placeholderLiftType, 13
3879999999, placeholderLiftType, 17
4279999999, placeholderLiftType, 13
4679999999, placeholderLiftType, 21
5079999999, placeholderLiftType, 21
5479999999, placeholderLiftType, 18
5879999999, placeholderLiftType, 18
6279999999, placeholderLiftType, 18
6679999999, placeholderLiftType, 18
7079999999, placeholderLiftType, 17
7479999999, placeholderLiftType, 16
7879999999, placeholderLiftType, 13
8279999999, placeholderLiftType, 9
8679999999, placeholderLiftType, 3
9079999999, placeholderLiftType, 5
9479999999, placeholderLiftType, 3
9879999999, placeholderLiftType, 7
10279999999, placeholderLiftType, 4
10679999999, placeholderLiftType, 12
11079999999, placeholderLiftType, 11
11479999999, placeholderLiftType, 2
11879999999, placeholderLiftType, 9
12279999999, placeholderLiftType, 3
12679999999, placeholderLiftType, 5
13079999999, placeholderLiftType, 8
13479999999, placeholderLiftType, 7
13879999999, placeholderLiftType, 13
14279999999, placeholderLiftType, 18
14679999999, placeholderLiftType, 8
15039999999, placeholderLiftType, 9
15439999999, placeholderLiftType, 4
15839999999, placeholderLiftType, 7
16239999999, placeholderLiftType, 10
16639999999, placeholderLiftType, 15
17039999999, placeholderLiftType, 16
17439999999, placeholderLiftType, 17
17839999999, placeholderLiftType, 17
18199999999, placeholderLiftType, 17
18559999999, placeholderLiftType, 18
18919999999, placeholderLiftType, 19
19239999999, placeholderLiftType, 18
19639999999, placeholderLiftType, 20
19999999999, placeholderLiftType, 18
20399999999, placeholderLiftType, 9
20799999999, placeholderLiftType, 3
21199999999, placeholderLiftType, 7
21599999999, placeholderLiftType, 7
21999999999, placeholderLiftType, 5
22399999999, placeholderLiftType, 5
22799999999, placeholderLiftType, 9
23159999999, placeholderLiftType, 10
23559999999, placeholderLiftType, 6
23959999999, placeholderLiftType, 13
24439999999, placeholderLiftType, 7
24919999999, placeholderLiftType, 4
25319999999, placeholderLiftType, 2
25719999999, placeholderLiftType, 2
26119999999, placeholderLiftType, 6
26519999999, placeholderLiftType, 5
26919999999, placeholderLiftType, 4
27319999999, placeholderLiftType, 6
27679999999, placeholderLiftType, 3
28079999999, placeholderLiftType, 5
28439999999, placeholderLiftType, 2
28839999999, placeholderLiftType, 2
29199999999, placeholderLiftType, 4
29599999999, placeholderLiftType, 6
29999999999, placeholderLiftType, 3
30359999999, placeholderLiftType, 2
30759999999, placeholderLiftType, 3
31159999999, placeholderLiftType, 3
31559999999, placeholderLiftType, 3
31959999999, placeholderLiftType, 5
32359999999, placeholderLiftType, 6
32759999999, placeholderLiftType, 9
33159999999, placeholderLiftType, 9
33519999999, placeholderLiftType, 6
33919999999, placeholderLiftType, 7
34319999999, placeholderLiftType, 5
34719999999, placeholderLiftType, 5
35119999999, placeholderLiftType, 5
35519999999, placeholderLiftType, 5
35919999999, placeholderLiftType, 11
36279999999, placeholderLiftType, 10
36679999999, placeholderLiftType, 11
37079999999, placeholderLiftType, 12
37479999999, placeholderLiftType, 12
37839999999, placeholderLiftType, 15
38239999999, placeholderLiftType, 17
38639999999, placeholderLiftType, 17
39039999999, placeholderLiftType, 9
39439999999, placeholderLiftType, 7
39839999999, placeholderLiftType, 10
40239999999, placeholderLiftType, 10
40639999999, placeholderLiftType, 2
41039999999, placeholderLiftType, 2
41439999999, placeholderLiftType, 3
41839999999, placeholderLiftType, 11
42239999999, placeholderLiftType, 10
42639999999, placeholderLiftType, 1
43039999999, placeholderLiftType, 0
43439999999, placeholderLiftType, 2
43839999999, placeholderLiftType, 1
44239999999, placeholderLiftType, 1
44639999999, placeholderLiftType, 3
45039999999, placeholderLiftType, 3
45439999999, placeholderLiftType, 3
45839999999, placeholderLiftType, 4
46239999999, placeholderLiftType, 4
46639999999, placeholderLiftType, 3
47039999999, placeholderLiftType, 4
47439999999, placeholderLiftType, 4
47839999999, placeholderLiftType, 4
48239999999, placeholderLiftType, 3
48639999999, placeholderLiftType, 4
49039999999, placeholderLiftType, 4
49439999999, placeholderLiftType, 3
49839999999, placeholderLiftType, 4
50239999999, placeholderLiftType, 4
50639999999, placeholderLiftType, 3
50999999999, placeholderLiftType, 3
51399999999, placeholderLiftType, 4
51799999999, placeholderLiftType, 4
52199999999, placeholderLiftType, 3
52599999999, placeholderLiftType, 4
52999999999, placeholderLiftType, 4
53399999999, placeholderLiftType, 3
53799999999, placeholderLiftType, 3
54199999999, placeholderLiftType, 4
54599999999, placeholderLiftType, 3
54999999999, placeholderLiftType, 3
55399999999, placeholderLiftType, 3
